DATE,Y057RA3A086NBEA
1929-01-01,0.39
1930-01-01,0.533
1931-01-01,0.641
1932-01-01,0.807
1933-01-01,0.782
1934-01-01,0.664
1935-01-01,0.682
1936-01-01,0.744
1937-01-01,0.75
1938-01-01,0.83
1939-01-01,0.9
1940-01-01,1.001
1941-01-01,2.342
1942-01-01,3.246
1943-01-01,5.278
1944-01-01,7.533
1945-01-01,7.5
1946-01-01,6.763
1947-01-01,6.104
1948-01-01,6.788
1949-01-01,7.301
1950-01-01,7.786
1951-01-01,8.039
1952-01-01,8.897
1953-01-01,9.922
1954-01-01,11.254
1955-01-01,13.003
1956-01-01,17.002
1957-01-01,20.157
1958-01-01,21.527
1959-01-01,23.083
1960-01-01,25.403
1961-01-01,28.374
1962-01-01,31.623
1963-01-01,37.392
1964-01-01,40.804
1965-01-01,43.595
1966-01-01,48.144
1967-01-01,50.108
1968-01-01,51.3
1969-01-01,50.792
1970-01-01,47.143
1971-01-01,45.801
1972-01-01,47.155
1973-01-01,46.548
1974-01-01,44.238
1975-01-01,43.902
1976-01-01,45.927
1977-01-01,47.712
1978-01-01,49.756
1979-01-01,51.678
1980-01-01,52.819
1981-01-01,54.63
1982-01-01,55.974
1983-01-01,59.116
1984-01-01,63.31
1985-01-01,70.317
1986-01-01,73.1
1987-01-01,77.848
1988-01-01,76.5
1989-01-01,74.306
1990-01-01,74.258
1991-01-01,71.02
1992-01-01,68.834
1993-01-01,66.957
1994-01-01,66.215
1995-01-01,65.19
1996-01-01,65.12
1997-01-01,65.007
1998-01-01,65.45
1999-01-01,66.259
2000-01-01,67.978
2001-01-01,71.999
2002-01-01,78.063
2003-01-01,84.741
2004-01-01,88.959
2005-01-01,92.112
2006-01-01,94.378
2007-01-01,96.658
2008-01-01,97.993
2009-01-01,100
2010-01-01,101.221
2011-01-01,100.091
2012-01-01,96.455
2013-01-01,94.368
2014-01-01,90.534
2015-01-01,90.1
